,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Compte Client,,,Export des données de l'énergie  ,
,,,,Grandeur physique : ,Energie Active
,Point Référence Mesure (PRM) : ,25213458627491,,Type de comptage : ,Consommation Quotidienne
,,,,Date de début : ,30/12/2024
,NA,Données indisponibles,,Date de fin :,16/06/2026
,,,,,
,,,,,
,,,,,
,Date,Valeur (en kWh),,,
,30/12/2024,"28,55",,,
,31/12/2024,"24,23",,,
,01/01/2025,"7,90",,,
,02/01/2025,"25,86",,,
,03/01/2025,"30,14",,,
,04/01/2025,"14,39",,,
,05/01/2025,"15,83",,,
,06/01/2025,"22,15",,,
,07/01/2025,"26,95",,,
,08/01/2025,"29,35",,,
,09/01/2025,"35,57",,,
,10/01/2025,"25,50",,,
,11/01/2025,"18,29",,,
,12/01/2025,"11,90",,,
,13/01/2025,"22,03",,,
,14/01/2025,"25,31",,,
,15/01/2025,"21,53",,,
,16/01/2025,"26,55",,,
,17/01/2025,"19,01",,,
,18/01/2025,"24,34",,,
,19/01/2025,"26,58",,,
,20/01/2025,"22,28",,,
,21/01/2025,"24,26",,,
,22/01/2025,"18,80",,,
,23/01/2025,"23,33",,,
,24/01/2025,"28,63",,,
,25/01/2025,"19,19",,,
,26/01/2025,"11,31",,,
,27/01/2025,"33,20",,,
,28/01/2025,"30,78",,,
,29/01/2025,"31,10",,,
,30/01/2025,"29,22",,,
,31/01/2025,"23,60",,,
,01/02/2025,"6,63",,,
,02/02/2025,"8,32",,,
,03/02/2025,"26,65",,,
,04/02/2025,"28,03",,,
,05/02/2025,"26,82",,,
,06/02/2025,"28,91",,,
,07/02/2025,"23,34",,,
,08/02/2025,"6,28",,,
,09/02/2025,"9,70",,,
,10/02/2025,"21,74",,,
,11/02/2025,"20,32",,,
,12/02/2025,"21,36",,,
,13/02/2025,"29,27",,,
,14/02/2025,"24,67",,,
,15/02/2025,"11,21",,,
,16/02/2025,"7,84",,,
,17/02/2025,"20,55",,,
,18/02/2025,"18,49",,,
,19/02/2025,"25,30",,,
,20/02/2025,"27,26",,,
,21/02/2025,"19,12",,,
,22/02/2025,"6,12",,,
,23/02/2025,"6,13",,,
,24/02/2025,"28,29",,,
,25/02/2025,"32,24",,,
,26/02/2025,"27,28",,,
,27/02/2025,"27,97",,,
,28/02/2025,"29,07",,,
,01/03/2025,"9,78",,,
,02/03/2025,"9,35",,,
,03/03/2025,"27,50",,,
,04/03/2025,"27,19",,,
,05/03/2025,"29,59",,,
,06/03/2025,"25,51",,,
,07/03/2025,"27,46",,,
,08/03/2025,"18,92",,,
,09/03/2025,"11,74",,,
,10/03/2025,"31,46",,,
,11/03/2025,"31,04",,,
,12/03/2025,"30,54",,,
,13/03/2025,"26,75",,,
,14/03/2025,"24,49",,,
,15/03/2025,"9,89",,,
,16/03/2025,"13,51",,,
,17/03/2025,"32,15",,,
,18/03/2025,"26,87",,,
,19/03/2025,"29,08",,,
,20/03/2025,"23,99",,,
,21/03/2025,"29,05",,,
,22/03/2025,"8,37",,,
,23/03/2025,"8,75",,,
,24/03/2025,"29,82",,,
,25/03/2025,"34,00",,,
,26/03/2025,"38,77",,,
,27/03/2025,"44,31",,,
,28/03/2025,"38,27",,,
,29/03/2025,"20,23",,,
,30/03/2025,"26,71",,,
,31/03/2025,"39,44",,,
,01/04/2025,"37,24",,,
,02/04/2025,"34,67",,,
,03/04/2025,"37,48",,,
,04/04/2025,"39,85",,,
,05/04/2025,"19,87",,,
,06/04/2025,"27,47",,,
,07/04/2025,"25,24",,,
,08/04/2025,"28,81",,,
,09/04/2025,"39,00",,,
,10/04/2025,"41,18",,,
,11/04/2025,"43,65",,,
,12/04/2025,"28,98",,,
,13/04/2025,"20,61",,,
,14/04/2025,"35,77",,,
,15/04/2025,"35,53",,,
,16/04/2025,"28,94",,,
,17/04/2025,"22,71",,,
,18/04/2025,"32,32",,,
,19/04/2025,"18,40",,,
,20/04/2025,"22,58",,,
,21/04/2025,"25,35",,,
,22/04/2025,"38,75",,,
,23/04/2025,"36,61",,,
,24/04/2025,"37,34",,,
,25/04/2025,"42,11",,,
,26/04/2025,"23,64",,,
,27/04/2025,"17,91",,,
,28/04/2025,"33,67",,,
,29/04/2025,"40,14",,,
,30/04/2025,"45,16",,,
,01/05/2025,"27,87",,,
,02/05/2025,"34,91",,,
,03/05/2025,"14,78",,,
,04/05/2025,"10,60",,,
,05/05/2025,"27,42",,,
,06/05/2025,"33,67",,,
,07/05/2025,"22,20",,,
,08/05/2025,"14,66",,,
,09/05/2025,"22,57",,,
,10/05/2025,"17,31",,,
,11/05/2025,"16,45",,,
,12/05/2025,"41,15",,,
,13/05/2025,"26,95",,,
,14/05/2025,"25,40",,,
,15/05/2025,"28,91",,,
,16/05/2025,"22,69",,,
,17/05/2025,"13,70",,,
,18/05/2025,"12,11",,,
,19/05/2025,"21,02",,,
,20/05/2025,"25,77",,,
,21/05/2025,"24,44",,,
,22/05/2025,"21,76",,,
,23/05/2025,"21,77",,,
,24/05/2025,"13,28",,,
,25/05/2025,"10,57",,,
,26/05/2025,"26,94",,,
,27/05/2025,"26,52",,,
,28/05/2025,"32,98",,,
,29/05/2025,"18,97",,,
,30/05/2025,"39,92",,,
,31/05/2025,"17,41",,,
,01/06/2025,"11,95",,,
,02/06/2025,"30,42",,,
,03/06/2025,"28,88",,,
,04/06/2025,"22,82",,,
,05/06/2025,"33,49",,,
,06/06/2025,"26,74",,,
,07/06/2025,"15,11",,,
,08/06/2025,"15,47",,,
,09/06/2025,"17,44",,,
,10/06/2025,"36,79",,,
,11/06/2025,"41,13",,,
,12/06/2025,"39,87",,,
,13/06/2025,"40,40",,,
,14/06/2025,"21,71",,,
,15/06/2025,"17,10",,,
,16/06/2025,"33,15",,,
,17/06/2025,"37,66",,,
,18/06/2025,"35,54",,,
,19/06/2025,"45,82",,,
,20/06/2025,"50,01",,,
,21/06/2025,"28,47",,,
,22/06/2025,"17,98",,,
,23/06/2025,"56,27",,,
,24/06/2025,"83,67",,,
,25/06/2025,"69,52",,,
,26/06/2025,"64,39",,,
,27/06/2025,"72,90",,,
,28/06/2025,"41,75",,,
,29/06/2025,"43,30",,,
,30/06/2025,"70,81",,,
,01/07/2025,"52,58",,,
,02/07/2025,"48,75",,,
,03/07/2025,"50,79",,,
,04/07/2025,"50,20",,,
,05/07/2025,"27,26",,,
,06/07/2025,"17,48",,,
,07/07/2025,"36,88",,,
,08/07/2025,"25,14",,,
,09/07/2025,"31,10",,,
,10/07/2025,"34,90",,,
,11/07/2025,"33,42",,,
,12/07/2025,"15,66",,,
,13/07/2025,"16,02",,,
,14/07/2025,"23,28",,,
,15/07/2025,"43,96",,,
,16/07/2025,"39,79",,,
,17/07/2025,"40,25",,,
,18/07/2025,"42,57",,,
,19/07/2025,"21,96",,,
,20/07/2025,"20,74",,,
,21/07/2025,"43,27",,,
,22/07/2025,"31,06",,,
,23/07/2025,"35,55",,,
,24/07/2025,"30,15",,,
,25/07/2025,"38,04",,,
,26/07/2025,"18,85",,,
,27/07/2025,"18,14",,,
,28/07/2025,"28,23",,,
,29/07/2025,"26,88",,,
,30/07/2025,"37,61",,,
,31/07/2025,"42,97",,,
,01/08/2025,"40,99",,,
,02/08/2025,"18,75",,,
,03/08/2025,"15,90",,,
,04/08/2025,"37,29",,,
,05/08/2025,"45,15",,,
,06/08/2025,"39,92",,,
,07/08/2025,"42,47",,,
,08/08/2025,"41,91",,,
,09/08/2025,"27,41",,,
,10/08/2025,"30,57",,,
,11/08/2025,"48,79",,,
,12/08/2025,"48,98",,,
,13/08/2025,"41,82",,,
,14/08/2025,"52,62",,,
,15/08/2025,"46,01",,,
,16/08/2025,"45,25",,,
,17/08/2025,"39,60",,,
,18/08/2025,"61,97",,,
,19/08/2025,"33,17",,,
,20/08/2025,"22,39",,,
,21/08/2025,"27,17",,,
,22/08/2025,"43,61",,,
,23/08/2025,"19,58",,,
,24/08/2025,"20,99",,,
,25/08/2025,"32,39",,,
,26/08/2025,"45,34",,,
,27/08/2025,"33,97",,,
,28/08/2025,"28,57",,,
,29/08/2025,"23,35",,,
,30/08/2025,"14,00",,,
,31/08/2025,"14,44",,,
,01/09/2025,"19,59",,,
,02/09/2025,"31,24",,,
