,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Compte Client,,,Export des données de l'énergie  ,
,,,,Grandeur physique : ,Energie Active
,Point Référence Mesure (PRM) : ,25214326934238,,Type de comptage : ,Consommation Quotidienne
,,,,Date de début : ,30/12/2024
,NA,Données indisponibles,,Date de fin :,16/06/2026
,,,,,
,,,,,
,,,,,
,Date,Valeur (en kWh),,,
,30/12/2024,"32,08",,,
,31/12/2024,"35,51",,,
,01/01/2025,"28,96",,,
,02/01/2025,"28,30",,,
,03/01/2025,"38,29",,,
,04/01/2025,"41,89",,,
,05/01/2025,"20,75",,,
,06/01/2025,"31,77",,,
,07/01/2025,"47,09",,,
,08/01/2025,"41,10",,,
,09/01/2025,"38,56",,,
,10/01/2025,"46,86",,,
,11/01/2025,"36,46",,,
,12/01/2025,"47,79",,,
,13/01/2025,"64,37",,,
,14/01/2025,"71,23",,,
,15/01/2025,"62,20",,,
,16/01/2025,"55,30",,,
,17/01/2025,"36,65",,,
,18/01/2025,"42,59",,,
,19/01/2025,"29,97",,,
,20/01/2025,"37,15",,,
,21/01/2025,"40,29",,,
,22/01/2025,"35,42",,,
,23/01/2025,"40,27",,,
,24/01/2025,"42,27",,,
,25/01/2025,"34,36",,,
,26/01/2025,"37,22",,,
,27/01/2025,"34,00",,,
,28/01/2025,"38,38",,,
,29/01/2025,"41,09",,,
,30/01/2025,"42,57",,,
,31/01/2025,"43,22",,,
,01/02/2025,"49,56",,,
,02/02/2025,"38,15",,,
,03/02/2025,"49,01",,,
,04/02/2025,"46,27",,,
,05/02/2025,"49,78",,,
,06/02/2025,"41,62",,,
,07/02/2025,"44,39",,,
,08/02/2025,"40,82",,,
,09/02/2025,"37,16",,,
,10/02/2025,"37,19",,,
,11/02/2025,"39,10",,,
,12/02/2025,"35,64",,,
,13/02/2025,"34,82",,,
,14/02/2025,"41,42",,,
,15/02/2025,"48,81",,,
,16/02/2025,"44,74",,,
,17/02/2025,"40,82",,,
,18/02/2025,"48,02",,,
,19/02/2025,"37,85",,,
,20/02/2025,"37,10",,,
,21/02/2025,"41,35",,,
,22/02/2025,"34,63",,,
,23/02/2025,"36,16",,,
,24/02/2025,"38,59",,,
,25/02/2025,"41,37",,,
,26/02/2025,"42,07",,,
,27/02/2025,"49,49",,,
,28/02/2025,"40,18",,,
,01/03/2025,"25,41",,,
,02/03/2025,"27,60",,,
,03/03/2025,"40,13",,,
,04/03/2025,"39,86",,,
,05/03/2025,"32,35",,,
,06/03/2025,"40,97",,,
,07/03/2025,"44,49",,,
,08/03/2025,"32,09",,,
,09/03/2025,"44,94",,,
,10/03/2025,"46,59",,,
,11/03/2025,"51,34",,,
,12/03/2025,"46,66",,,
,13/03/2025,"52,23",,,
,14/03/2025,"54,78",,,
,15/03/2025,"58,50",,,
,16/03/2025,"36,08",,,
,17/03/2025,"52,25",,,
,18/03/2025,"42,14",,,
,19/03/2025,"56,60",,,
,20/03/2025,"45,98",,,
,21/03/2025,"46,66",,,
,22/03/2025,"45,37",,,
