,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Compte Client,,,Export des données de l'énergie  ,
,,,,Grandeur physique : ,Energie Active
,Point Référence Mesure (PRM) : ,25213603345271,,Type de comptage : ,Consommation Quotidienne
,,,,Date de début : ,30/12/2024
,NA,Données indisponibles,,Date de fin :,16/06/2026
,,,,,
,,,,,
,,,,,
,Date,Valeur (en kWh),,,
,30/12/2024,"50,56",,,
,31/12/2024,"48,94",,,
,01/01/2025,"41,22",,,
,02/01/2025,"48,51",,,
,03/01/2025,"47,33",,,
,04/01/2025,"71,34",,,
,05/01/2025,"52,69",,,
,06/01/2025,"40,29",,,
,07/01/2025,"46,47",,,
,08/01/2025,"43,25",,,
,09/01/2025,"43,73",,,
,10/01/2025,"43,06",,,
,11/01/2025,"39,75",,,
,12/01/2025,"53,76",,,
,13/01/2025,"61,10",,,
,14/01/2025,"65,53",,,
,15/01/2025,"61,75",,,
,16/01/2025,"54,65",,,
,17/01/2025,"58,85",,,
,18/01/2025,"58,03",,,
,19/01/2025,"45,26",,,
,20/01/2025,"51,73",,,
,21/01/2025,"53,92",,,
,22/01/2025,"50,30",,,
,23/01/2025,"49,93",,,
,24/01/2025,"53,18",,,
,25/01/2025,"28,71",,,
,26/01/2025,"30,36",,,
,27/01/2025,"46,77",,,
,28/01/2025,"46,34",,,
,29/01/2025,"49,91",,,
,30/01/2025,"44,16",,,
,31/01/2025,"47,07",,,
,01/02/2025,"42,20",,,
,02/02/2025,"52,19",,,
,03/02/2025,"54,14",,,
,04/02/2025,"54,78",,,
,05/02/2025,"57,39",,,
,06/02/2025,"47,46",,,
,07/02/2025,"47,21",,,
,08/02/2025,"41,45",,,
,09/02/2025,"54,87",,,
,10/02/2025,"46,46",,,
,11/02/2025,"51,38",,,
,12/02/2025,"51,62",,,
,13/02/2025,"43,85",,,
,14/02/2025,"44,47",,,
,15/02/2025,"41,14",,,
,16/02/2025,"41,55",,,
,17/02/2025,"56,10",,,
,18/02/2025,"52,19",,,
,19/02/2025,"47,15",,,
,20/02/2025,"53,49",,,
,21/02/2025,"55,72",,,
,22/02/2025,"31,62",,,
,23/02/2025,"34,10",,,
,24/02/2025,"51,58",,,
,25/02/2025,"46,66",,,
,26/02/2025,"44,44",,,
,27/02/2025,"46,36",,,
,28/02/2025,"39,09",,,
,01/03/2025,"39,43",,,
,02/03/2025,"42,92",,,
,03/03/2025,"53,62",,,
,04/03/2025,"47,52",,,
,05/03/2025,"48,82",,,
,06/03/2025,"38,69",,,
,07/03/2025,"39,82",,,
,08/03/2025,"28,30",,,
,09/03/2025,"38,79",,,
,10/03/2025,"52,12",,,
,11/03/2025,"45,77",,,
,12/03/2025,"47,92",,,
