,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Compte Client,,,Export des données de l'énergie  ,
,13/03/2025,"50,89",,,
,14/03/2025,"49,67",,,
,15/03/2025,"40,37",,,
,16/03/2025,"35,17",,,
,17/03/2025,"51,19",,,
,18/03/2025,"41,46",,,
,19/03/2025,"48,14",,,
,20/03/2025,"44,73",,,
,21/03/2025,"43,27",,,
,22/03/2025,"28,81",,,
,23/03/2025,"33,18",,,
,24/03/2025,"46,25",,,
,25/03/2025,"49,52",,,
,26/03/2025,"47,27",,,
,27/03/2025,"51,09",,,
,28/03/2025,"49,72",,,
,29/03/2025,"34,38",,,
,30/03/2025,"27,72",,,
,31/03/2025,"46,52",,,
,01/04/2025,"46,37",,,
,02/04/2025,"34,54",,,
,03/04/2025,"34,90",,,
,04/04/2025,"35,19",,,
,05/04/2025,"21,75",,,
,06/04/2025,"27,52",,,
,07/04/2025,"37,60",,,
,08/04/2025,"31,29",,,
,09/04/2025,"37,86",,,
,10/04/2025,"38,18",,,
,11/04/2025,"37,03",,,
,12/04/2025,"22,45",,,
,13/04/2025,"22,69",,,
,14/04/2025,"35,83",,,
,15/04/2025,"33,85",,,
,16/04/2025,"40,40",,,
,17/04/2025,"69,26",,,
,18/04/2025,"67,34",,,
,19/04/2025,"22,40",,,
,20/04/2025,"22,61",,,
,21/04/2025,"22,74",,,
,22/04/2025,"42,81",,,
,23/04/2025,"46,50",,,
,24/04/2025,"46,36",,,
,25/04/2025,"61,12",,,
,26/04/2025,"44,23",,,
,27/04/2025,"36,98",,,
,28/04/2025,"54,76",,,
,29/04/2025,"60,82",,,
,30/04/2025,"70,15",,,
,01/05/2025,"40,92",,,
,02/05/2025,"51,02",,,
,03/05/2025,"24,68",,,
,04/05/2025,"21,53",,,
,05/05/2025,"46,40",,,
,06/05/2025,"51,53",,,
,07/05/2025,"38,86",,,
,08/05/2025,"21,94",,,
,09/05/2025,"35,37",,,
,10/05/2025,"23,82",,,
,11/05/2025,"23,02",,,
,12/05/2025,"54,15",,,
,13/05/2025,"55,70",,,
,14/05/2025,"58,67",,,
,15/05/2025,"57,52",,,
,16/05/2025,"51,46",,,
,17/05/2025,"31,05",,,
,18/05/2025,"32,29",,,
,19/05/2025,"58,96",,,
,20/05/2025,"52,82",,,
,21/05/2025,"64,78",,,
,22/05/2025,"52,68",,,
,23/05/2025,"51,58",,,
,24/05/2025,"28,72",,,
,25/05/2025,"31,86",,,
,26/05/2025,"65,66",,,
,27/05/2025,"63,48",,,
,28/05/2025,"77,22",,,
,29/05/2025,"50,79",,,
,30/05/2025,"80,70",,,
,31/05/2025,"50,23",,,
,01/06/2025,"45,78",,,
,02/06/2025,"56,79",,,
,03/06/2025,"66,39",,,
,04/06/2025,"58,24",,,
,05/06/2025,"75,01",,,
,06/06/2025,"69,70",,,
,07/06/2025,"49,03",,,
,08/06/2025,"44,37",,,
,09/06/2025,"40,22",,,
,10/06/2025,"82,14",,,
,11/06/2025,"86,65",,,
,12/06/2025,"84,39",,,
,13/06/2025,"86,28",,,
,14/06/2025,"59,92",,,
,15/06/2025,"57,22",,,
,16/06/2025,"84,54",,,
,17/06/2025,"91,07",,,
,18/06/2025,"93,33",,,
,19/06/2025,"92,86",,,
,20/06/2025,"94,94",,,
,21/06/2025,"78,35",,,
,22/06/2025,"73,14",,,
,23/06/2025,"98,61",,,
,24/06/2025,"114,36",,,
,25/06/2025,"120,67",,,
,26/06/2025,"83,11",,,
,27/06/2025,"85,63",,,
,28/06/2025,"66,19",,,
,29/06/2025,"68,35",,,
,30/06/2025,"103,35",,,
,01/07/2025,"103,06",,,
,02/07/2025,"104,21",,,
,03/07/2025,"106,47",,,
,04/07/2025,"107,69",,,
,05/07/2025,"86,77",,,
,06/07/2025,"68,15",,,
,07/07/2025,"72,94",,,
,08/07/2025,"62,69",,,
,09/07/2025,"70,32",,,
,10/07/2025,"79,91",,,
,11/07/2025,"81,94",,,
,12/07/2025,"61,59",,,
,13/07/2025,"56,79",,,
,14/07/2025,"77,77",,,
,15/07/2025,"95,62",,,
,16/07/2025,"90,05",,,
,17/07/2025,"95,78",,,
,18/07/2025,"94,92",,,
,19/07/2025,"66,87",,,
,20/07/2025,"65,54",,,
,21/07/2025,"92,66",,,
,22/07/2025,"81,80",,,
,23/07/2025,"71,46",,,
,24/07/2025,"60,53",,,
,25/07/2025,"66,38",,,
,26/07/2025,"51,35",,,
,27/07/2025,"52,68",,,
,28/07/2025,"61,52",,,
,29/07/2025,"69,89",,,
,30/07/2025,"70,56",,,
,31/07/2025,"66,46",,,
,01/08/2025,"62,11",,,
,02/08/2025,"39,90",,,
,03/08/2025,"41,02",,,
,04/08/2025,"66,44",,,
,05/08/2025,"70,16",,,
,06/08/2025,"69,23",,,
,07/08/2025,"69,58",,,
,08/08/2025,"79,68",,,
,09/08/2025,"70,71",,,
,10/08/2025,"68,72",,,
,11/08/2025,"83,92",,,
,12/08/2025,"93,92",,,
,13/08/2025,"93,41",,,
,14/08/2025,"86,46",,,
,15/08/2025,"79,35",,,
,16/08/2025,"84,31",,,
,17/08/2025,"83,83",,,
,18/08/2025,"83,62",,,
,19/08/2025,"52,92",,,
,20/08/2025,"39,60",,,
,21/08/2025,"40,32",,,
,22/08/2025,"59,67",,,
,23/08/2025,"48,13",,,
,24/08/2025,"49,66",,,
,25/08/2025,"54,42",,,
,26/08/2025,"63,35",,,
,27/08/2025,"66,78",,,
,28/08/2025,"53,03",,,
,29/08/2025,"47,46",,,
,30/08/2025,"38,51",,,
,31/08/2025,"40,42",,,
,01/09/2025,"42,82",,,
,02/09/2025,"54,28",,,
,03/09/2025,"62,04",,,
,04/09/2025,"68,00",,,
,05/09/2025,"57,15",,,
,06/09/2025,"43,92",,,
,07/09/2025,"45,44",,,
,08/09/2025,"60,14",,,
,09/09/2025,"55,91",,,
,10/09/2025,"49,24",,,
,11/09/2025,"57,95",,,
,12/09/2025,"59,13",,,
,13/09/2025,"22,21",,,
,14/09/2025,"30,23",,,
,15/09/2025,"68,91",,,
,16/09/2025,"63,55",,,
,17/09/2025,"60,43",,,
,18/09/2025,"70,43",,,
,19/09/2025,"65,73",,,
,20/09/2025,"47,55",,,
,21/09/2025,"25,32",,,
,22/09/2025,"51,90",,,
,23/09/2025,"55,82",,,
,24/09/2025,"52,83",,,
,25/09/2025,"48,09",,,
,26/09/2025,"49,10",,,
,27/09/2025,"31,84",,,
,28/09/2025,"27,76",,,
,29/09/2025,"54,80",,,
,30/09/2025,"57,88",,,
,01/10/2025,"55,43",,,
,02/10/2025,"60,33",,,
,03/10/2025,"58,44",,,
,04/10/2025,"36,77",,,
,05/10/2025,"38,25",,,
,06/10/2025,"54,49",,,
,07/10/2025,"45,46",,,
,08/10/2025,"52,47",,,
,09/10/2025,"48,96",,,
,10/10/2025,"50,48",,,
,11/10/2025,"33,85",,,
,12/10/2025,"33,38",,,
,13/10/2025,"57,14",,,
,14/10/2025,"54,53",,,
,15/10/2025,"52,01",,,
,16/10/2025,"51,61",,,
,17/10/2025,"55,41",,,
,18/10/2025,"31,84",,,
,19/10/2025,"20,16",,,
,20/10/2025,"36,25",,,
,21/10/2025,"34,16",,,
,22/10/2025,"50,61",,,
,23/10/2025,"45,98",,,
,24/10/2025,"47,67",,,
,25/10/2025,"20,30",,,
,26/10/2025,"21,39",,,
,27/10/2025,"37,99",,,
,28/10/2025,"44,08",,,
,29/10/2025,"34,16",,,
,30/10/2025,"38,34",,,
,31/10/2025,"34,86",,,
,01/11/2025,"20,25",,,
,02/11/2025,"20,56",,,
,03/11/2025,"43,54",,,
,04/11/2025,"38,62",,,
,05/11/2025,"42,59",,,
,06/11/2025,"40,78",,,
,07/11/2025,"39,68",,,
,08/11/2025,"20,77",,,
,09/11/2025,"20,88",,,
,10/11/2025,"30,90",,,
,11/11/2025,"28,54",,,
,12/11/2025,"33,84",,,
,13/11/2025,"27,98",,,
,14/11/2025,"29,09",,,
,15/11/2025,"17,70",,,
,16/11/2025,"17,60",,,
,17/11/2025,"31,23",,,
,18/11/2025,"30,22",,,
,19/11/2025,"34,17",,,
,20/11/2025,"42,73",,,
,21/11/2025,"62,55",,,
,22/11/2025,"51,56",,,
,23/11/2025,"49,31",,,
,24/11/2025,"39,62",,,
,25/11/2025,"35,86",,,
,26/11/2025,"41,64",,,
,27/11/2025,"49,49",,,
,28/11/2025,"47,82",,,
,29/11/2025,"37,18",,,
,30/11/2025,"46,33",,,
,01/12/2025,"49,74",,,
,02/12/2025,"52,80",,,
,03/12/2025,"47,38",,,
,04/12/2025,"45,09",,,
,05/12/2025,"48,95",,,
,06/12/2025,"40,60",,,
,07/12/2025,"29,41",,,
,08/12/2025,"42,19",,,
,09/12/2025,"33,09",,,
,10/12/2025,"40,82",,,
,11/12/2025,"39,72",,,
,12/12/2025,"38,91",,,
,13/12/2025,"26,24",,,
,14/12/2025,"22,26",,,
,15/12/2025,"37,23",,,
,16/12/2025,"35,64",,,
,17/12/2025,"40,62",,,
,18/12/2025,"44,75",,,
,19/12/2025,"35,25",,,
,20/12/2025,"31,22",,,
,21/12/2025,"34,23",,,
,22/12/2025,"74,00",,,
,23/12/2025,"38,59",,,
,24/12/2025,"34,45",,,
,25/12/2025,"25,12",,,
,26/12/2025,"29,92",,,
,27/12/2025,"18,71",,,
,28/12/2025,"22,05",,,
,29/12/2025,"36,26",,,
,30/12/2025,"33,67",,,
,31/12/2025,"41,17",,,
,01/01/2026,"24,04",,,
,02/01/2026,"36,75",,,
,03/01/2026,"34,78",,,
,04/01/2026,"45,31",,,
,05/01/2026,"55,67",,,
,06/01/2026,"61,58",,,
,07/01/2026,"65,00",,,
,08/01/2026,"55,40",,,
,09/01/2026,"40,17",,,
,10/01/2026,"42,93",,,
,11/01/2026,"44,10",,,
,12/01/2026,"52,44",,,
,13/01/2026,"40,44",,,
,14/01/2026,"38,53",,,
,15/01/2026,"38,33",,,
,16/01/2026,"36,16",,,
,17/01/2026,"38,25",,,
,18/01/2026,"82,94",,,
,19/01/2026,"64,58",,,
,20/01/2026,"38,87",,,
,21/01/2026,"42,09",,,
,22/01/2026,"44,94",,,
,23/01/2026,"48,03",,,
,24/01/2026,"36,92",,,
,25/01/2026,"34,98",,,
,26/01/2026,"47,29",,,
,27/01/2026,"45,20",,,
,28/01/2026,"42,91",,,
,29/01/2026,"48,52",,,
,30/01/2026,"35,08",,,
,31/01/2026,"33,80",,,
,01/02/2026,"43,06",,,
,02/02/2026,"38,63",,,
,03/02/2026,"28,68",,,
,04/02/2026,"32,00",,,
,05/02/2026,"32,21",,,
,06/02/2026,"26,95",,,
,07/02/2026,"19,15",,,
,08/02/2026,"31,11",,,
,09/02/2026,"34,41",,,
,10/02/2026,"33,93",,,
,11/02/2026,"34,75",,,
,12/02/2026,"35,65",,,
,13/02/2026,"31,59",,,
,14/02/2026,"25,62",,,
,15/02/2026,"32,07",,,
,16/02/2026,"35,92",,,
,17/02/2026,"33,24",,,
,18/02/2026,"27,92",,,
,19/02/2026,"28,98",,,
,20/02/2026,"30,88",,,
,21/02/2026,"18,48",,,
,22/02/2026,"18,64",,,
,23/02/2026,"27,98",,,
,24/02/2026,"32,11",,,
,25/02/2026,"32,75",,,
,26/02/2026,"25,24",,,
,27/02/2026,"24,57",,,
,28/02/2026,"18,59",,,
,01/03/2026,"21,82",,,
,02/03/2026,"26,79",,,
,03/03/2026,"27,63",,,
,04/03/2026,"25,85",,,
,05/03/2026,"26,71",,,
,06/03/2026,"28,93",,,
,07/03/2026,"20,11",,,
,08/03/2026,"22,54",,,
,09/03/2026,"28,93",,,
,10/03/2026,"34,53",,,
,11/03/2026,"29,15",,,
,12/03/2026,"26,73",,,
,13/03/2026,"25,97",,,
,14/03/2026,"20,14",,,
,15/03/2026,"27,24",,,
,16/03/2026,"32,35",,,
,17/03/2026,"27,33",,,
,18/03/2026,"29,60",,,
,19/03/2026,"29,08",,,
,20/03/2026,"25,85",,,
,21/03/2026,"19,70",,,
,22/03/2026,"22,20",,,
,23/03/2026,"30,18",,,
,24/03/2026,"26,69",,,
,25/03/2026,"25,65",,,
,26/03/2026,"25,45",,,
,27/03/2026,"25,23",,,
,28/03/2026,"20,23",,,
,29/03/2026,"19,37",,,
,30/03/2026,"27,44",,,
,31/03/2026,"27,44",,,
,01/04/2026,"28,84",,,
,02/04/2026,"26,40",,,
,03/04/2026,"23,92",,,
,04/04/2026,"19,53",,,
,05/04/2026,"19,66",,,
,06/04/2026,"19,68",,,
,07/04/2026,"27,41",,,
,08/04/2026,"28,33",,,
,09/04/2026,"26,54",,,
,10/04/2026,"33,85",,,
,11/04/2026,"29,93",,,
,12/04/2026,"23,82",,,
,13/04/2026,"33,50",,,
,14/04/2026,"25,71",,,
,15/04/2026,"28,61",,,
,16/04/2026,"24,80",,,
,17/04/2026,"38,34",,,
,18/04/2026,"35,24",,,
,19/04/2026,"34,30",,,
,20/04/2026,"43,82",,,
,21/04/2026,"41,46",,,
,22/04/2026,"34,26",,,
,23/04/2026,"34,19",,,
,24/04/2026,"30,61",,,
,25/04/2026,"22,16",,,
,26/04/2026,"22,10",,,
,27/04/2026,"29,68",,,
,28/04/2026,"32,57",,,
,29/04/2026,"35,30",,,
,30/04/2026,"30,51",,,
,01/05/2026,"20,91",,,
,02/05/2026,"21,19",,,
,03/05/2026,"21,14",,,
,04/05/2026,"27,80",,,
,05/05/2026,"26,84",,,
,06/05/2026,"28,78",,,
,07/05/2026,"33,68",,,
,08/05/2026,"22,76",,,
,09/05/2026,"25,25",,,
,10/05/2026,"21,49",,,
,11/05/2026,"35,39",,,
,12/05/2026,"31,79",,,
,13/05/2026,"31,38",,,
,14/05/2026,"20,90",,,
,15/05/2026,"32,93",,,
,16/05/2026,"22,47",,,
,17/05/2026,"26,28",,,
,18/05/2026,"45,14",,,
,19/05/2026,"48,59",,,
,20/05/2026,"63,78",,,
,21/05/2026,"67,75",,,
,22/05/2026,"60,86",,,
,23/05/2026,"54,07",,,
,24/05/2026,"60,81",,,
,25/05/2026,"62,14",,,
,26/05/2026,"82,26",,,
,27/05/2026,"76,63",,,
,28/05/2026,"80,03",,,
,29/05/2026,"74,06",,,
,30/05/2026,"73,70",,,
,31/05/2026,"67,38",,,
,01/06/2026,"87,55",,,
,02/06/2026,"74,41",,,
,03/06/2026,"63,06",,,
,04/06/2026,"57,09",,,
,05/06/2026,"52,84",,,
,06/06/2026,"41,44",,,
,07/06/2026,"55,04",,,
,08/06/2026,"73,34",,,
,09/06/2026,"73,15",,,
,10/06/2026,"64,45",,,
,11/06/2026,"44,22",,,
,12/06/2026,"57,20",,,
,13/06/2026,"65,06",,,
,14/06/2026,"61,56",,,
,15/06/2026,"65,54",,,
,16/06/2026,"68,70",,,
